City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,fort bragg,35.139,-79.006,33.28,51.0,100.0,3.6,US,1718656108.0
155,kasane,-17.8167,25.15,14.97,51.0,8.0,2.67,BW,1718656108.0
156,ribeira grande,38.5167,-28.7,21.22,64.0,40.0,4.47,PT,1718656108.0
157,caidian,30.5833,114.0333,27.07,79.0,2.0,2.48,CN,1718656108.0
158,mitu,1.1983,-70.1733,27.78,77.0,60.0,0.95,CO,1718656109.0
159,diamantino,-14.4086,-56.4461,32.33,25.0,0.0,1.54,BR,1718656109.0
160,keflavik,64.0049,-22.5624,9.24,76.0,100.0,3.6,IS,1718656109.0
161,matthew town,20.95,-73.6667,29.13,73.0,98.0,2.73,BS,1718656109.0
162,azcapotzalco,19.4889,-99.1836,28.2,13.0,40.0,4.63,MX,1718656109.0
163,kourou,5.1552,-52.6478,30.03,79.0,3.0,2.3,GF,1718656109.0
164,atafu village,-8.5421,-172.5159,28.98,76.0,7.0,7.65,TK,1718656109.0
165,juruti,-2.1522,-56.0922,31.04,59.0,99.0,1.8,BR,1718656109.0
166,yurga,55.7231,84.8861,16.36,96.0,100.0,1.39,RU,1718656110.0
168,tazovsky,67.4667,78.7,4.44,73.0,100.0,3.13,RU,1718656110.0
170,afaahiti,-17.75,-149.2833,26.93,81.0,25.0,4.53,PF,1718656110.0
171,castillos,-34.1667,-53.8333,13.07,84.0,7.0,2.9,UY,1718656110.0
172,lerwick,60.1545,-1.1494,12.0,88.0,100.0,4.58,GB,1718656110.0
173,hami,42.8,93.45,25.06,28.0,99.0,5.95,CN,1718656111.0
174,floro,61.5996,5.0328,13.04,88.0,100.0,3.09,NO,1718656111.0
175,box elder,41.5005,-112.8764,14.06,49.0,88.0,11.59,US,1718656030.0
176,kodiak,57.79,-152.4072,11.73,76.0,0.0,4.12,US,1718656111.0
177,port augusta,-32.5,137.7667,11.93,76.0,100.0,1.88,AU,1718656111.0
178,tynda,55.1667,124.7167,9.28,92.0,100.0,1.05,RU,1718656111.0
179,riviere-du-loup,47.8304,-69.5342,20.15,56.0,81.0,2.06,CA,1718656111.0
180,hammerfest,70.6634,23.6821,18.25,63.0,0.0,1.54,NO,1718656111.0
181,i-n-salah,27.1935,2.4607,38.96,7.0,45.0,2.22,DZ,1718656112.0
182,hadibu,12.65,54.0333,27.51,80.0,100.0,5.7,YE,1718656112.0
183,mermoz boabab,14.7065,-17.4758,26.31,81.0,47.0,4.01,SN,1718656112.0
184,tomatlan,19.9333,-105.25,33.13,48.0,2.0,6.91,MX,1718656112.0
185,dwarka,22.2394,68.9678,29.77,76.0,7.0,5.64,IN,1718656112.0
186,balboa,2.0396,-77.2168,25.98,49.0,98.0,1.51,CO,1718656112.0
187,ambodifotatra,-16.9833,49.85,25.14,71.0,64.0,5.59,MG,1718656112.0
188,monrovia,6.3005,-10.7969,24.45,92.0,100.0,2.88,LR,1718656113.0
189,codrington,-38.2667,141.9667,4.26,90.0,20.0,2.74,AU,1718656113.0
190,mbandaka,0.0487,18.2603,24.23,72.0,75.0,1.02,CD,1718656113.0
191,kincardine,56.0667,-3.7167,16.15,86.0,73.0,1.68,GB,1718656113.0
192,bodo,67.28,14.405,19.97,61.0,40.0,4.63,NO,1718656113.0
193,uusikaupunki,60.8004,21.4084,12.88,96.0,93.0,1.47,FI,1718656113.0
194,port mathurin,-19.6833,63.4167,23.79,84.0,100.0,2.82,MU,1718656113.0
195,warrnambool,-38.3833,142.4833,4.77,91.0,58.0,2.99,AU,1718656113.0
196,arraial do cabo,-22.9661,-42.0278,25.98,69.0,0.0,4.12,BR,1718656013.0
197,ashburton,-37.8626,145.0794,5.51,86.0,0.0,0.45,AU,1718656114.0
198,akureyri,65.6835,-18.0878,12.96,44.0,0.0,4.63,IS,1718656114.0
199,avarua,-21.2078,-159.775,26.03,65.0,75.0,2.06,CK,1718656114.0
200,whakatane,-37.9585,176.9854,13.62,94.0,100.0,4.47,NZ,1718656114.0
201,fort dodge,42.4975,-94.168,28.99,69.0,20.0,4.12,US,1718656114.0
202,college,64.8569,-147.8028,25.81,35.0,20.0,3.6,US,1718656114.0
203,kilis,36.7161,37.115,25.13,62.0,6.0,2.69,TR,1718656115.0
204,kayangel,8.0823,134.7173,27.26,82.0,95.0,4.59,PW,1718656115.0
205,fort mcmurray,56.7268,-111.381,8.77,76.0,75.0,9.77,CA,1718655876.0
206,pekanbaru,0.5333,101.45,26.18,100.0,75.0,2.06,ID,1718656115.0
